Simulation_ID,Final_Net_Worth,Final_Roth_Balance,Total_Conversions,Total_Taxes,Roth_Preserved,Years_With_Shortfall,Worst_Year_Return,Best_Year_Return,Sequence_Risk
0,3689254.00836713,811916.0304278582,629868.7924079539,384737.2700393715,True,0,-0.12594718652645268,0.12021432446721628,0.015529131209644859
1,7234649.232726542,2151584.376507214,626395.0584693258,384880.3061427268,True,0,-0.08765814962805463,0.18961487350948544,0.028581915908500108
2,7631780.003556562,1868643.179463944,674799.9746877509,378709.9381185079,True,0,-0.11187925627484101,0.23295598902936104,0.11680863485461501
3,10237559.621202476,2249282.6293476126,690271.0369088181,377448.2587511628,True,0,-0.09343904930524144,0.3323229553200844,0.09835704712415272
4,2725603.996738708,949376.1367247629,430499.96933436894,300573.030872794,False,0,-0.1608228314198979,0.20730325118295528,0.172272783855273
5,1994425.4557480665,218197.59573412128,536622.1087220551,282952.6659723878,False,0,-0.1349877879752312,0.21996775531336563,0.1419488326158692
6,3728614.943034158,998951.9527299649,613405.0922655284,394454.89614384895,True,0,-0.15423036007942295,0.15556571370685998,0.020583789507355697
7,3581647.8383964607,1198691.5856574315,638742.1803174078,410565.0321615965,True,0,-0.13807578306273732,0.14920733235988404,0.018757924376632845
8,3710905.9713075487,723125.0948219643,688597.2668068777,378141.8143253674,True,0,-0.1894903855880672,0.42005832805738275,0.0614314245167365
9,1776227.8600139453,0.0,219542.26049189724,138446.37864590078,False,17,-0.31331139761676874,0.10615231768433991,0.3189277324460748
10,9493886.31476001,2612787.68288849,712588.2944169025,372916.83204080234,True,0,-0.219771939195478,0.41348911271949795,0.11263050081446024
11,14755620.920003766,3485630.2823240566,689171.1263060542,378118.18481657776,True,0,-0.13672363883935054,0.27245945832041174,0.10616762591578058
12,2116951.658575857,340723.7985619119,683375.8865213529,372150.04214425746,False,0,-0.163447102995103,0.2753046570464227,0.05178346196953833
13,4429843.672026387,2108176.6543165543,567198.5898499945,451841.59105572297,True,0,-0.12047332924464461,0.2687625013802765,0.12304239569907487
14,21463235.025248256,4403941.02005553,734886.1573794063,366445.9154716064,True,0,-0.06033398748941527,0.4049583215053083,0.18472269522349258
15,2904641.248114445,1128413.3881004995,567198.5898499945,343564.21404684347,False,0,-0.17537170371885838,0.148401200358458,0.1258281861002588
16,1776227.8600139453,0.0,366079.15634514956,225840.271736627,False,8,-0.24427924546145788,0.0856296563168384,0.19589723432996595
17,12059281.89295631,3365045.2986355894,647010.3805268309,384031.4399403589,True,0,-0.17213577822356618,0.2351728470008359,0.02582152707197259
18,4819297.9837000705,2432198.311722388,603863.7589594788,441982.1569439535,True,0,-0.14036976255333797,0.2980736036092682,0.06909065372382057
19,11892717.068684617,3540881.48116329,642087.0604478057,384234.1648847894,True,0,-0.02303469044302338,0.2157114090208686,0.012079316830928957
20,1776227.8600139453,0.0,374322.6181557088,256589.7009410278,False,4,-0.23612343464456442,0.10311793145027975,0.16943604789537992
21,2662166.521677226,885938.6616632805,437198.5898499945,312547.93525944964,False,0,-0.21058017277083954,0.2436105877764394,0.1434820980089797
