Year,Age,IRA_Start,Roth_Start,Expenses,Social_Security,Net_Expenses,Conversion_Amount,Conversion_Tax,IRA_Withdrawal,Brokerage_Withdrawal,Savings_Withdrawal,Roth_Withdrawal,Total_Taxes,IRA_End,Roth_End,Savings_End,Brokerage_End,Home_Equity,Net_Worth
2026,62,1325000.0,265000.0,80000.0,0,80000.0,80000.0,17600.0,0.0,0.0,80000.0,0,17600.0,1245000.0,345000.0,220400.0,1272000.0,900000.0,3982400.0
2027,63,1319700.0,365700.0,103000.0,0,103000.0,80000.0,17600.0,0.0,0.0,103000.0,0,17600.0,1239700.0,445700.0,113024.0,1348320.0,927000.0,4073744.0
2028,64,1314082.0,472442.0,169744.0,0,169744.0,58974.376470588235,12974.36282352941,0.0,74015.20332179932,106831.07717647059,0,24076.643321799307,1255107.6235294119,531416.3764705883,0.0,1355203.9966782008,954810.0,4096537.9966782006
2029,65,1330414.0809411767,563301.3590588236,87418.16,0,87418.16,36927.552941176466,8124.061647058822,0.0,102844.89411764707,0.0,0,23550.795764705883,1293486.5280000002,600228.912,0.0,1325547.2807141868,983454.3,4202717.020714187
2030,66,1371095.7196800003,636242.6467200001,90040.7048,0,90040.7048,35384.87952941176,7784.673496470587,0.0,105930.24094117648,0.0,0,23674.209637647058,1335710.8401505887,671627.5262494119,0.0,1291365.203119391,1012957.9290000001,4311661.498519392
2031,67,1415853.490559624,711925.1778243766,92741.925944,36000,56741.925944,54972.39650352941,12093.92723077647,0.0,66755.20699294118,0.0,0,22107.208279717648,1360881.0940560945,766897.574327906,0.0,1289997.9810828369,1043346.6668700001,4461123.316336838
2032,68,1442533.9596994603,812911.4287875805,95524.18372232001,36000,59524.18372232001,50000.0,11000.0,0.0,70028.45143802355,0.0,0,21504.267715703532,1392533.9596994603,862911.4287875805,0.0,1286369.4085097837,1074647.0668761001,4616461.863872925
2033,69,1476085.997281428,914686.1145148353,98389.90923398962,36000,62389.909233989616,50000.0,11000.0,9.328150787414648e-12,73399.89321645837,0.0,0,22009.98398246876,1426085.997281428,964686.1145148353,0.0,1279151.6798039123,1106886.478882383,4776810.270482559
2034,70,1511651.1571183137,1022567.2813857255,101341.6065110093,36000,65341.606511009304,49913.76087587688,10981.027392692913,0.0,76872.47824824625,0.0,0,22511.89912992985,1461737.396242437,1072481.0422616024,0.0,1268047.274951208,1140093.0732488548,4942358.7867041025
2035,71,1549441.6400169833,1136829.9047972986,78286.3910297547,36000,42286.3910297547,50000.0,11000.0,0.0,49748.69532912318,0.0,0,18462.304299368476,1499441.6400169833,1186829.9047972986,0.0,1283381.4161191573,1174295.8654463205,5143948.82637976
2036,72,1589408.1384180023,1258039.6990851366,80634.98276064733,36000,44634.982760647326,50000.0,11000.0,0.0,52511.74442429098,0.0,0,18876.761663643647,1539408.1384180023,1308039.6990851366,0.0,1296872.5566620158,1209524.74140971,5353845.135574864
